contig_gene,start_gene,end_gene,notes_gene,pval.treatment,adj.pval.pop,ID,Parent,Name,Alias,AED,eAED,Note,Ontology_term,Dbxref
Contig0,10497,95068,"ID=OLUR_00000039;Name=OLUR_00000039;Alias=maker-Contig0-snap-gene-0.8;Note=Similar to WDR87: WD repeat-containing protein 87 (Homo sapiens OX%3D9606);Dbxref=Coils:Coil,Gene3D:G3DSA:1.25.10.10,Gene3D:G3DSA:2.130.10.10,InterPro:IPR001680,InterPro:IPR011989,InterPro:IPR015943,InterPro:IPR016024,InterPro:IPR017986,InterPro:IPR036322,MobiDBLite:mobidb-lite,Pfam:PF00400,ProSiteProfiles:PS50082,ProSiteProfiles:PS50294,SMART:SM00320,SUPERFAMILY:SSF48371,SUPERFAMILY:SSF50978;Ontology_term=GO:0005515;",1.1864486528989072e-4,0.0013200261250306481,ID=OLUR_00000039;,NA,Name=OLUR_00000039;,Alias=maker-Contig0-snap-gene-0.8;,NA,NA,Note=Similar to WDR87: WD repeat-containing protein 87 (Homo sapiens OX%3D9606);,Ontology_term=GO:0005515;,"Dbxref=Coils:Coil,Gene3D:G3DSA:1.25.10.10,Gene3D:G3DSA:2.130.10.10,InterPro:IPR001680,InterPro:IPR011989,InterPro:IPR015943,InterPro:IPR016024,InterPro:IPR017986,InterPro:IPR036322,MobiDBLite:mobidb-lite,Pfam:PF00400,ProSiteProfiles:PS50082,ProSiteProfiles:PS50294,SMART:SM00320,SUPERFAMILY:SSF48371,SUPERFAMILY:SSF50978;"
Contig100188,1,4123,"ID=OLUR_00028933;Name=OLUR_00028933;Alias=snap_masked-Contig100188-processed-gene-0.1;Note=Similar to CHD7: Chromodomain-helicase-DNA-binding protein 7 (Gallus gallus OX%3D9031);Dbxref=Gene3D:G3DSA:3.40.50.300,InterPro:IPR027417,MobiDBLite:mobidb-lite,SUPERFAMILY:SSF52540;",1.7584045711066147e-5,2.4458908638685906e-4,ID=OLUR_00028933;,NA,Name=OLUR_00028933;,Alias=snap_masked-Contig100188-processed-gene-0.1;,NA,NA,Note=Similar to CHD7: Chromodomain-helicase-DNA-binding protein 7 (Gallus gallus OX%3D9031);,NA,"Dbxref=Gene3D:G3DSA:3.40.50.300,InterPro:IPR027417,MobiDBLite:mobidb-lite,SUPERFAMILY:SSF52540;"
Contig101333,3371,8675,"ID=OLUR_00015117;Name=OLUR_00015117;Alias=snap_masked-Contig101333-processed-gene-0.0;Note=Similar to Chrna7: Neuronal acetylcholine receptor subunit alpha-7 (Rattus norvegicus OX%3D10116);Dbxref=Gene3D:G3DSA:1.20.58.390,Gene3D:G3DSA:2.70.170.10,InterPro:IPR006029,InterPro:IPR006201,InterPro:IPR006202,InterPro:IPR018000,InterPro:IPR036719,InterPro:IPR036734,PRINTS:PR00252,Pfam:PF02931,Pfam:PF02932,ProSitePatterns:PS00236,SUPERFAMILY:SSF63712,SUPERFAMILY:SSF90112;Ontology_term=GO:0004888,GO:0005216,GO:0005230,GO:0006811,GO:0016021,GO:0034220;",0.0036860234762480597,0.021604638324371327,ID=OLUR_00015117;,NA,Name=OLUR_00015117;,Alias=snap_masked-Contig101333-processed-gene-0.0;,NA,NA,Note=Similar to Chrna7: Neuronal acetylcholine receptor subunit alpha-7 (Rattus norvegicus OX%3D10116);,"Ontology_term=GO:0004888,GO:0005216,GO:0005230,GO:0006811,GO:0016021,GO:0034220;","Dbxref=Gene3D:G3DSA:1.20.58.390,Gene3D:G3DSA:2.70.170.10,InterPro:IPR006029,InterPro:IPR006201,InterPro:IPR006202,InterPro:IPR018000,InterPro:IPR036719,InterPro:IPR036734,PRINTS:PR00252,Pfam:PF02931,Pfam:PF02932,ProSitePatterns:PS00236,SUPERFAMILY:SSF63712,SUPERFAMILY:SSF90112;"
Contig1024,1,14330,"ID=OLUR_00016188;Name=OLUR_00016188;Alias=maker-Contig1024-snap-gene-0.1;Note=Similar to lig1: DNA ligase 1 (Xenopus laevis OX%3D8355);Dbxref=CDD:cd07900,CDD:cd07969,Gene3D:G3DSA:2.40.50.140,Gene3D:G3DSA:3.30.470.30,InterPro:IPR012309,InterPro:IPR012310,InterPro:IPR012340,InterPro:IPR016059,MobiDBLite:mobidb-lite,Pfam:PF01068,Pfam:PF04679,ProSitePatterns:PS00333,ProSiteProfiles:PS50160,SUPERFAMILY:SSF50249,SUPERFAMILY:SSF56091;Ontology_term=GO:0003909,GO:0003910,GO:0005524,GO:0006281,GO:0006310,GO:0051103;",1.4752114650757082e-4,0.0015817710265334543,ID=OLUR_00016188;,NA,Name=OLUR_00016188;,Alias=maker-Contig1024-snap-gene-0.1;,NA,NA,Note=Similar to lig1: DNA ligase 1 (Xenopus laevis OX%3D8355);,"Ontology_term=GO:0003909,GO:0003910,GO:0005524,GO:0006281,GO:0006310,GO:0051103;","Dbxref=CDD:cd07900,CDD:cd07969,Gene3D:G3DSA:2.40.50.140,Gene3D:G3DSA:3.30.470.30,InterPro:IPR012309,InterPro:IPR012310,InterPro:IPR012340,InterPro:IPR016059,MobiDBLite:mobidb-lite,Pfam:PF01068,Pfam:PF04679,ProSitePatterns:PS00333,ProSiteProfiles:PS50160,SUPERFAMILY:SSF50249,SUPERFAMILY:SSF56091;"
Contig103503,4845,9852,"ID=OLUR_00014920;Name=OLUR_00014920;Alias=snap_masked-Contig103503-processed-gene-0.0;Note=Similar to Glyceraldehyde-3-phosphate dehydrogenase (Panulirus versicolor OX%3D150436);Dbxref=Gene3D:G3DSA:3.30.360.10,Gene3D:G3DSA:3.40.50.720,InterPro:IPR006424,InterPro:IPR020828,InterPro:IPR020829,InterPro:IPR020830,InterPro:IPR020831,InterPro:IPR036291,PIRSF:PIRSF000149,PRINTS:PR00078,Pfam:PF00044,Pfam:PF02800,ProSitePatterns:PS00071,SMART:SM00846,SUPERFAMILY:SSF51735,SUPERFAMILY:SSF55347,TIGRFAM:TIGR01534;Ontology_term=GO:0006006,GO:0016620,GO:0050661,GO:0051287,GO:0055114;",2.9953440917545916e-5,3.9426917308636316e-4,ID=OLUR_00014920;,NA,Name=OLUR_00014920;,Alias=snap_masked-Contig103503-processed-gene-0.0;,NA,NA,Note=Similar to Glyceraldehyde-3-phosphate dehydrogenase (Panulirus versicolor OX%3D150436);,"Ontology_term=GO:0006006,GO:0016620,GO:0050661,GO:0051287,GO:0055114;","Dbxref=Gene3D:G3DSA:3.30.360.10,Gene3D:G3DSA:3.40.50.720,InterPro:IPR006424,InterPro:IPR020828,InterPro:IPR020829,InterPro:IPR020830,InterPro:IPR020831,InterPro:IPR036291,PIRSF:PIRSF000149,PRINTS:PR00078,Pfam:PF00044,Pfam:PF02800,ProSitePatterns:PS00071,SMART:SM00846,SUPERFAMILY:SSF51735,SUPERFAMILY:SSF55347,TIGRFAM:TIGR01534;"
Contig104643,1,11629,"ID=OLUR_00019113;Name=OLUR_00019113;Alias=maker-Contig104643-snap-gene-0.2;Note=Similar to spata18: Mitochondria-eating protein (Danio rerio OX%3D7955);Dbxref=Coils:Coil,InterPro:IPR031981,MobiDBLite:mobidb-lite,Pfam:PF16026;",4.0719981387478323e-4,0.0037111388107337285,ID=OLUR_00019113;,NA,Name=OLUR_00019113;,Alias=maker-Contig104643-snap-gene-0.2;,NA,NA,Note=Similar to spata18: Mitochondria-eating protein (Danio rerio OX%3D7955);,NA,"Dbxref=Coils:Coil,InterPro:IPR031981,MobiDBLite:mobidb-lite,Pfam:PF16026;"
Contig1074,10351,18003,"ID=OLUR_00012878;Name=OLUR_00012878;Alias=maker-Contig1074-snap-gene-0.3;Note=Similar to Huwe1: E3 ubiquitin-protein ligase HUWE1 (Mus musculus OX%3D10090);Dbxref=Coils:Coil,MobiDBLite:mobidb-lite;",2.0798800933683484e-5,2.778383176748123e-4,ID=OLUR_00012878;,NA,Name=OLUR_00012878;,Alias=maker-Contig1074-snap-gene-0.3;,NA,NA,Note=Similar to Huwe1: E3 ubiquitin-protein ligase HUWE1 (Mus musculus OX%3D10090);,NA,"Dbxref=Coils:Coil,MobiDBLite:mobidb-lite;"
Contig107764,2194,10917,ID=OLUR_00019966;Name=OLUR_00019966;Alias=snap_masked-Contig107764-processed-gene-0.0;Note=Protein of unknown function;Dbxref=MobiDBLite:mobidb-lite;,0.0010244096954153735,0.007955773232229716,ID=OLUR_00019966;,NA,Name=OLUR_00019966;,Alias=snap_masked-Contig107764-processed-gene-0.0;,NA,NA,Note=Protein of unknown function;,NA,Dbxref=MobiDBLite:mobidb-lite;
Contig108499,1,11878,"ID=OLUR_00012327;Name=OLUR_00012327;Alias=maker-Contig108499-snap-gene-0.6;Note=Protein of unknown function;Dbxref=Coils:Coil,InterPro:IPR007940,MobiDBLite:mobidb-lite,Pfam:PF05276;Ontology_term=GO:0035556;",0.0015065674985933791,0.010756191538746606,ID=OLUR_00012327;,NA,Name=OLUR_00012327;,Alias=maker-Contig108499-snap-gene-0.6;,NA,NA,Note=Protein of unknown function;,Ontology_term=GO:0035556;,"Dbxref=Coils:Coil,InterPro:IPR007940,MobiDBLite:mobidb-lite,Pfam:PF05276;"
Contig112833,1,6669,"ID=OLUR_00025551;Name=OLUR_00025551;Alias=maker-Contig112833-snap-gene-0.2;Note=Similar to Gls2: Glutaminase liver isoform%2C mitochondrial (Mus musculus OX%3D10090);Dbxref=CDD:cd00204,Gene3D:G3DSA:1.25.40.20,Gene3D:G3DSA:3.40.710.10,InterPro:IPR002110,InterPro:IPR012338,InterPro:IPR015868,InterPro:IPR020683,InterPro:IPR036770,Pfam:PF04960,Pfam:PF12796,ProSiteProfiles:PS50088,ProSiteProfiles:PS50297,SMART:SM00248,SUPERFAMILY:SSF48403,SUPERFAMILY:SSF56601;Ontology_term=GO:0004359,GO:0005515,GO:0006541;",0.0017129378435539414,0.011826801321029498,ID=OLUR_00025551;,NA,Name=OLUR_00025551;,Alias=maker-Contig112833-snap-gene-0.2;,NA,NA,Note=Similar to Gls2: Glutaminase liver isoform%2C mitochondrial (Mus musculus OX%3D10090);,"Ontology_term=GO:0004359,GO:0005515,GO:0006541;","Dbxref=CDD:cd00204,Gene3D:G3DSA:1.25.40.20,Gene3D:G3DSA:3.40.710.10,InterPro:IPR002110,InterPro:IPR012338,InterPro:IPR015868,InterPro:IPR020683,InterPro:IPR036770,Pfam:PF04960,Pfam:PF12796,ProSiteProfiles:PS50088,ProSiteProfiles:PS50297,SMART:SM00248,SUPERFAMILY:SSF48403,SUPERFAMILY:SSF56601;"
