"","contig_gene","start_gene","end_gene","Contig100994","3427","3429","-31"
"1","Contig128000",3369,3371,"Contig128000",3369,3371,-27
"2","Contig1297",49910,49912,"Contig1297",49910,49912,25
"3","Contig143",19460,19462,"Contig143",19460,19462,40
"4","Contig152",9376,9378,"Contig152",9376,9378,-39
"5","Contig16846",5620,5622,"Contig16846",5620,5622,-28
"6","Contig17101",29519,29521,"Contig17101",29519,29521,-43
"7","Contig17564",25282,25284,"Contig17564",25282,25284,-29
"8","Contig17564",26782,26784,"Contig17564",26782,26784,-29
"9","Contig17603",65410,65412,"Contig17603",65410,65412,-51
"10","Contig17966",14851,14853,"Contig17966",14851,14853,-37
"11","Contig18716",57393,57395,"Contig18716",57393,57395,43
"12","Contig19180",24525,24527,"Contig19180",24525,24527,-26
"13","Contig19486",12979,12981,"Contig19486",12979,12981,37
"14","Contig20866",12520,12522,"Contig20866",12520,12522,-33
"15","Contig20896",12523,12525,"Contig20896",12523,12525,-35
"16","Contig23065",230,232,"Contig23065",230,232,-29
"17","Contig23065",2274,2276,"Contig23065",2274,2276,-40
"18","Contig25952",11184,11186,"Contig25952",11184,11186,-60
"19","Contig295049",2122,2124,"Contig295049",2122,2124,34
"20","Contig30989",5423,5425,"Contig30989",5423,5425,31
"21","Contig31893",4209,4211,"Contig31893",4209,4211,49
"22","Contig32656",11901,11903,"Contig32656",11901,11903,25
"23","Contig32850",5906,5908,"Contig32850",5906,5908,-30
"24","Contig32939",16456,16458,"Contig32939",16456,16458,26
"25","Contig34342",15413,15415,"Contig34342",15413,15415,-47
"26","Contig34596",13693,13695,"Contig34596",13693,13695,-27
"27","Contig35326",9817,9819,"Contig35326",9817,9819,-31
"28","Contig35838",21533,21535,"Contig35838",21533,21535,-31
"29","Contig36016",5626,5628,"Contig36016",5626,5628,33
"30","Contig36080",3217,3219,"Contig36080",3217,3219,62
"31","Contig36584",2894,2896,"Contig36584",2894,2896,28
"32","Contig4078",6681,6683,"Contig4078",6681,6683,25
"33","Contig41429",6771,6773,"Contig41429",6771,6773,-29
"34","Contig41684",10330,10332,"Contig41684",10330,10332,-51
"35","Contig42678",4386,4388,"Contig42678",4386,4388,-47
"36","Contig42707",10320,10322,"Contig42707",10320,10322,32
"37","Contig45431",10638,10640,"Contig45431",10638,10640,-31
"38","Contig53993",795,797,"Contig53993",795,797,30
"39","Contig54534",8078,8080,"Contig54534",8078,8080,-32
"40","Contig55191",26529,26531,"Contig55191",26529,26531,26
"41","Contig565",21063,21065,"Contig565",21063,21065,-32
"42","Contig60274",9480,9482,"Contig60274",9480,9482,-69
"43","Contig67758",6118,6120,"Contig67758",6118,6120,27
"44","Contig71473",1195,1197,"Contig71473",1195,1197,35
"45","Contig76256",1671,1673,"Contig76256",1671,1673,-25
"46","Contig82531",2636,2638,"Contig82531",2636,2638,52
"47","Contig915",12004,12006,"Contig915",12004,12006,-26
"48","Contig98338",5382,5384,"Contig98338",5382,5384,-26
