"chr"	"start"	"end"	"strand"	"pvalue"	"qvalue"	"meth.diff"
"13"	"Contig0"	64288	64288	"+"	3.46556850487542e-06	0.000184800491305904	-24.4932844932845
"48"	"Contig1"	2278	2278	"+"	2.50207064890409e-29	3.62047682548379e-26	92.5
"49"	"Contig1"	2294	2294	"+"	3.24652500193236e-26	3.22187149411399e-23	94.3351691581432
"50"	"Contig1"	2396	2396	"+"	9.18311981671122e-27	9.62441584016608e-24	88.75
"51"	"Contig1"	2435	2435	"+"	1.08813260615941e-25	9.9612454536771e-23	87.3684210526316
"52"	"Contig1"	2458	2458	"+"	7.42082102547896e-31	1.40725872786632e-27	93.1328320802005
"71"	"Contig10"	76600	76600	"+"	0.000183986300953661	0.00560515435399909	27.1406127258445
"91"	"Contig100"	57537	57537	"+"	1.44909102032085e-06	8.4902726660392e-05	27.1089973491346
"97"	"Contig100"	57651	57651	"+"	1.98249574400758e-07	1.4329412663384e-05	-34.6969696969697
"169"	"Contig100123"	17272	17272	"+"	1.66964851225972e-07	1.22738482340521e-05	-35.0703294628528
"229"	"Contig100188"	628	628	"+"	2.34124861538173e-08	2.09038268898391e-06	-32.7235772357724
"307"	"Contig100230"	1065	1065	"+"	2.85159559842237e-05	0.00116858522038488	14.0611225389362
"308"	"Contig100230"	1109	1109	"+"	3.60447525712637e-05	0.00142579435695328	-25.1460674157303
"312"	"Contig100231"	3802	3802	"+"	3.16235106804096e-15	8.62851712999632e-13	35.8637784851131
"314"	"Contig100231"	3835	3835	"+"	2.15126312722196e-08	1.93779761627558e-06	13.7551990493167
"319"	"Contig100231"	3874	3874	"+"	8.41860077823746e-07	5.21589987905742e-05	-20.7023193304148
"328"	"Contig100231"	4048	4048	"+"	3.12184640780035e-07	2.15506176993245e-05	28.2312925170068
"403"	"Contig100348"	2275	2275	"+"	0.000180764902293172	0.00553314072101663	-25.3510716925351
"420"	"Contig100374"	4579	4579	"+"	1.51273016453769e-06	8.81249004210696e-05	35.7401188323431
"422"	"Contig100374"	4662	4662	"+"	0.000331137250677779	0.0090660058880128	-25.3040324301259
"468"	"Contig100455"	5067	5067	"+"	2.34299714800292e-06	0.000130785539823278	-31.7171717171717
"539"	"Contig100586"	12579	12579	"+"	7.63565940238263e-05	0.00270424836809724	-24.0177721358299
"554"	"Contig100600"	1957	1957	"+"	6.23971989279007e-23	4.11608257613252e-20	-86.7647058823529
"555"	"Contig100600"	3088	3088	"+"	6.5112024525761e-26	6.1618448667686e-23	-92.4242424242424
"556"	"Contig100600"	3095	3095	"+"	2.14138173956123e-27	2.37761004689792e-24	-95.2380952380952
